gene_name	query	indication_meshId	indication_meshName	clinical_success
ACHE	[MASK] is a promising drug target for the treatment of reproductive tract infections.	D060737	Reproductive Tract Infections	1
ACLY	[MASK] is a promising drug target for the treatment of hypercholesterolemia.	D006937	Hypercholesterolemia	1
ACLY	[MASK] is a promising drug target for the treatment of hyperlipoproteinemia type ii.	D006938	Hyperlipoproteinemia Type II	1
ACLY	[MASK] is a promising drug target for the treatment of hyperlipidemias.	D006949	Hyperlipidemias	1
ACLY	[MASK] is a promising drug target for the treatment of dyslipidemias.	D050171	Dyslipidemias	1
ACLY	[MASK] is a promising drug target for the treatment of atherosclerosis.	D050197	Atherosclerosis	1
ACVR1	[MASK] is a promising drug target for the treatment of pancreatic neoplasms.	D010190	Pancreatic Neoplasms	0
ACVR2A	[MASK] is a promising drug target for the treatment of diabetic nephropathies.	D003928	Diabetic Nephropathies	0
ACVR2A	[MASK] is a promising drug target for the treatment of chronic kidney failure.	D007676	Kidney Failure, Chronic	0
ACVR2A	[MASK] is a promising drug target for the treatment of myelodysplastic syndromes.	D009190	Myelodysplastic Syndromes	0
ACVR2A	[MASK] is a promising drug target for the treatment of osteoporosis.	D010024	Osteoporosis	0
ACVR2A	[MASK] is a promising drug target for the treatment of pure red-cell aplasia.	D012010	Red-Cell Aplasia, Pure	0
ACVR2A	[MASK] is a promising drug target for the treatment of thalassemia.	D013789	Thalassemia	0
ACVR2B	[MASK] is a promising drug target for the treatment of cachexia.	D002100	Cachexia	0
ACVR2B	[MASK] is a promising drug target for the treatment of type 2 diabetes mellitus.	D003924	Diabetes Mellitus, Type 2	0
ACVR2B	[MASK] is a promising drug target for the treatment of muscular atrophy.	D009133	Muscular Atrophy	0
ACVR2B	[MASK] is a promising drug target for the treatment of inclusion body myositis.	D018979	Myositis, Inclusion Body	0
ACVR2B	[MASK] is a promising drug target for the treatment of sarcopenia.	D055948	Sarcopenia	0
ACVRL1	[MASK] is a promising drug target for the treatment of rheumatoid arthritis.	D001172	Arthritis, Rheumatoid	0
ACVRL1	[MASK] is a promising drug target for the treatment of brain neoplasms.	D001932	Brain Neoplasms	0
ACVRL1	[MASK] is a promising drug target for the treatment of breast neoplasms.	D001943	Breast Neoplasms	0
ACVRL1	[MASK] is a promising drug target for the treatment of charcot-marie-tooth disease.	D002607	Charcot-Marie-Tooth Disease	0
ACVRL1	[MASK] is a promising drug target for the treatment of glioblastoma.	D005909	Glioblastoma	0
ACVRL1	[MASK] is a promising drug target for the treatment of head and neck neoplasms.	D006258	Head and Neck Neoplasms	0
ACVRL1	[MASK] is a promising drug target for the treatment of kidney neoplasms.	D007680	Kidney Neoplasms	0
ACVRL1	[MASK] is a promising drug target for the treatment of liver neoplasms.	D008113	Liver Neoplasms	0
ACVRL1	[MASK] is a promising drug target for the treatment of macular degeneration.	D008268	Macular Degeneration	0
ACVRL1	[MASK] is a promising drug target for the treatment of medulloblastoma.	D008527	Medulloblastoma	0
ACVRL1	[MASK] is a promising drug target for the treatment of multiple myeloma.	D009101	Multiple Myeloma	0
ACVRL1	[MASK] is a promising drug target for the treatment of myelodysplastic syndromes.	D009190	Myelodysplastic Syndromes	1
ACVRL1	[MASK] is a promising drug target for the treatment of neoplasms.	D009369	Neoplasms	0
ACVRL1	[MASK] is a promising drug target for the treatment of ovarian neoplasms.	D010051	Ovarian Neoplasms	0
ACVRL1	[MASK] is a promising drug target for the treatment of thalassemia.	D013789	Thalassemia	1
ACVRL1	[MASK] is a promising drug target for the treatment of colorectal neoplasms.	D015179	Colorectal Neoplasms	0
ACVRL1	[MASK] is a promising drug target for the treatment of endometrial neoplasms.	D016889	Endometrial Neoplasms	0
ACVRL1	[MASK] is a promising drug target for the treatment of facioscapulohumeral muscular dystrophy.	D020391	Muscular Dystrophy, Facioscapulohumeral	0
ADA	[MASK] is a promising drug target for the treatment of severe combined immunodeficiency due to adenosine deaminase deficiency.	C531816	Severe combined immunodeficiency due to adenosine deaminase deficiency	1
ADAMTS4	[MASK] is a promising drug target for the treatment of edema.	D004487	Edema	0
ADAMTS5	[MASK] is a promising drug target for the treatment of osteoarthritis.	D010003	Osteoarthritis	0
ADCY6	[MASK] is a promising drug target for the treatment of heart failure.	D006333	Heart Failure	0
ADCYAP1R1	[MASK] is a promising drug target for the treatment of migraine disorders.	D008881	Migraine Disorders	0
ADH5	[MASK] is a promising drug target for the treatment of cystic fibrosis.	D003550	Cystic Fibrosis	0
ADM	[MASK] is a promising drug target for the treatment of respiratory distress syndrome.	D012128	Respiratory Distress Syndrome	0
ADNP	[MASK] is a promising drug target for the treatment of alzheimer disease.	D000544	Alzheimer Disease	0
ADNP	[MASK] is a promising drug target for the treatment of autistic disorder.	D001321	Autistic Disorder	0
ADNP	[MASK] is a promising drug target for the treatment of cognition disorders.	D003072	Cognition Disorders	0
ADORA1	[MASK] is a promising drug target for the treatment of angina pectoris.	D000787	Angina Pectoris	0
ADORA1	[MASK] is a promising drug target for the treatment of asthma.	D001249	Asthma	1
ADORA1	[MASK] is a promising drug target for the treatment of atrial fibrillation.	D001281	Atrial Fibrillation	0
ADORA1	[MASK] is a promising drug target for the treatment of heart failure.	D006333	Heart Failure	0
ADORA1	[MASK] is a promising drug target for the treatment of hypersensitivity.	D006967	Hypersensitivity	0
ADORA2A	[MASK] is a promising drug target for the treatment of asthma.	D001249	Asthma	0
ADORA2A	[MASK] is a promising drug target for the treatment of attention deficit disorder with hyperactivity.	D001289	Attention Deficit Disorder with Hyperactivity	0
ADORA2A	[MASK] is a promising drug target for the treatment of glaucoma.	D005901	Glaucoma	0
ADORA2A	[MASK] is a promising drug target for the treatment of non-hodgkin lymphoma.	D008228	Lymphoma, Non-Hodgkin	0
ADORA2A	[MASK] is a promising drug target for the treatment of parkinson disease.	D010300	Parkinson Disease	0
ADORA2A	[MASK] is a promising drug target for the treatment of chronic obstructive pulmonary disease.	D029424	Pulmonary Disease, Chronic Obstructive	0
ADORA2A	[MASK] is a promising drug target for the treatment of nociceptive pain.	D059226	Nociceptive Pain	0
ADORA3	[MASK] is a promising drug target for the treatment of brain ischemia.	D002545	Brain Ischemia	0
ADRA1A	[MASK] is a promising drug target for the treatment of bipolar disorder.	D001714	Bipolar Disorder	1
ADRA1A	[MASK] is a promising drug target for the treatment of blepharoptosis.	D001763	Blepharoptosis	1
ADRA1A	[MASK] is a promising drug target for the treatment of heart failure.	D006333	Heart Failure	0
ADRA1A	[MASK] is a promising drug target for the treatment of hypersensitivity.	D006967	Hypersensitivity	0
ADRA1A	[MASK] is a promising drug target for the treatment of hypertension.	D006973	Hypertension	0
ADRA1A	[MASK] is a promising drug target for the treatment of hypotension.	D007022	Hypotension	1
ADRA1A	[MASK] is a promising drug target for the treatment of myocardial infarction.	D009203	Myocardial Infarction	0
ADRA1A	[MASK] is a promising drug target for the treatment of prostatic hyperplasia.	D011470	Prostatic Hyperplasia	1
ADRA1A	[MASK] is a promising drug target for the treatment of psychotic disorders.	D011618	Psychotic Disorders	0
ADRA1A	[MASK] is a promising drug target for the treatment of schizophrenia.	D012559	Schizophrenia	1
ADRA1A	[MASK] is a promising drug target for the treatment of operative surgical procedures.	D013514	Surgical Procedures, Operative	1
ADRA1A	[MASK] is a promising drug target for the treatment of urinary incontinence.	D014549	Urinary Incontinence	0
ADRA1A	[MASK] is a promising drug target for the treatment of mucositis.	D052016	Mucositis	0
ADRA1B	[MASK] is a promising drug target for the treatment of hypersensitivity.	D006967	Hypersensitivity	0
ADRA1B	[MASK] is a promising drug target for the treatment of hypotension.	D007022	Hypotension	1
ADRA1B	[MASK] is a promising drug target for the treatment of urinary incontinence.	D014549	Urinary Incontinence	0
ADRA1B	[MASK] is a promising drug target for the treatment of mucositis.	D052016	Mucositis	0
ADRA1D	[MASK] is a promising drug target for the treatment of hypotension.	D007022	Hypotension	1
ADRA1D	[MASK] is a promising drug target for the treatment of schizophrenia.	D012559	Schizophrenia	1
ADRA1D	[MASK] is a promising drug target for the treatment of urinary incontinence.	D014549	Urinary Incontinence	0
ADRA1D	[MASK] is a promising drug target for the treatment of mucositis.	D052016	Mucositis	0
ADRA2A	[MASK] is a promising drug target for the treatment of attention deficit disorder with hyperactivity.	D001289	Attention Deficit Disorder with Hyperactivity	1
ADRA2A	[MASK] is a promising drug target for the treatment of bipolar disorder.	D001714	Bipolar Disorder	1
ADRA2A	[MASK] is a promising drug target for the treatment of blepharoptosis.	D001763	Blepharoptosis	1
ADRA2A	[MASK] is a promising drug target for the treatment of allergic conjunctivitis.	D003233	Conjunctivitis, Allergic	0
ADRA2A	[MASK] is a promising drug target for the treatment of diabetic neuropathies.	D003929	Diabetic Neuropathies	0
ADRA2A	[MASK] is a promising drug target for the treatment of glaucoma.	D005901	Glaucoma	1
ADRA2A	[MASK] is a promising drug target for the treatment of graft vs host disease.	D006086	Graft vs Host Disease	0
ADRA2A	[MASK] is a promising drug target for the treatment of hypertension.	D006973	Hypertension	1
ADRA2A	[MASK] is a promising drug target for the treatment of hypotension.	D007022	Hypotension	0
ADRA2A	[MASK] is a promising drug target for the treatment of menopause.	D008593	Menopause	0
ADRA2A	[MASK] is a promising drug target for the treatment of neuralgia.	D009437	Neuralgia	0
ADRA2A	[MASK] is a promising drug target for the treatment of rosacea.	D012393	Rosacea	1
ADRA2A	[MASK] is a promising drug target for the treatment of schizophrenia.	D012559	Schizophrenia	1
ADRA2A	[MASK] is a promising drug target for the treatment of dry eye syndromes.	D015352	Dry Eye Syndromes	0
ADRA2A	[MASK] is a promising drug target for the treatment of mucositis.	D052016	Mucositis	0
ADRA2A	[MASK] is a promising drug target for the treatment of geographic atrophy.	D057092	Geographic Atrophy	0
ADRA2B	[MASK] is a promising drug target for the treatment of attention deficit disorder with hyperactivity.	D001289	Attention Deficit Disorder with Hyperactivity	1
ADRA2B	[MASK] is a promising drug target for the treatment of diabetic neuropathies.	D003929	Diabetic Neuropathies	0
ADRA2B	[MASK] is a promising drug target for the treatment of hypertension.	D006973	Hypertension	1
ADRA2B	[MASK] is a promising drug target for the treatment of menopause.	D008593	Menopause	0
ADRA2B	[MASK] is a promising drug target for the treatment of neuralgia.	D009437	Neuralgia	0
ADRA2B	[MASK] is a promising drug target for the treatment of traumatic shock.	D012774	Shock, Traumatic	1
ADRA2B	[MASK] is a promising drug target for the treatment of postherpetic neuralgia.	D051474	Neuralgia, Postherpetic	0
ADRA2B	[MASK] is a promising drug target for the treatment of mucositis.	D052016	Mucositis	0
ADRA2C	[MASK] is a promising drug target for the treatment of alzheimer disease.	D000544	Alzheimer Disease	0
ADRA2C	[MASK] is a promising drug target for the treatment of attention deficit disorder with hyperactivity.	D001289	Attention Deficit Disorder with Hyperactivity	1
ADRA2C	[MASK] is a promising drug target for the treatment of diabetic neuropathies.	D003929	Diabetic Neuropathies	0
ADRA2C	[MASK] is a promising drug target for the treatment of hypertension.	D006973	Hypertension	1
ADRA2C	[MASK] is a promising drug target for the treatment of neuralgia.	D009437	Neuralgia	0
ADRA2C	[MASK] is a promising drug target for the treatment of raynaud disease.	D011928	Raynaud Disease	0
ADRA2C	[MASK] is a promising drug target for the treatment of peripheral vascular diseases.	D016491	Peripheral Vascular Diseases	0
ADRA2C	[MASK] is a promising drug target for the treatment of mucositis.	D052016	Mucositis	0
ADRB1	[MASK] is a promising drug target for the treatment of angina pectoris.	D000787	Angina Pectoris	1
ADRB1	[MASK] is a promising drug target for the treatment of cardiac arrhythmias.	D001145	Arrhythmias, Cardiac	1
ADRB1	[MASK] is a promising drug target for the treatment of atrial fibrillation.	D001281	Atrial Fibrillation	1
ADRB1	[MASK] is a promising drug target for the treatment of glaucoma.	D005901	Glaucoma	1
ADRB1	[MASK] is a promising drug target for the treatment of heart failure.	D006333	Heart Failure	1
ADRB1	[MASK] is a promising drug target for the treatment of hemangioma.	D006391	Hemangioma	1
ADRB1	[MASK] is a promising drug target for the treatment of hypertension.	D006973	Hypertension	1
ADRB1	[MASK] is a promising drug target for the treatment of hypotension.	D007022	Hypotension	0
ADRB1	[MASK] is a promising drug target for the treatment of myocardial infarction.	D009203	Myocardial Infarction	0
ADRB1	[MASK] is a promising drug target for the treatment of retinopathy of prematurity.	D012178	Retinopathy of Prematurity	0
ADRB1	[MASK] is a promising drug target for the treatment of post-traumatic stress disorders.	D013313	Stress Disorders, Post-Traumatic	0
ADRB1	[MASK] is a promising drug target for the treatment of supraventricular tachycardia.	D013617	Tachycardia, Supraventricular	1
ADRB1	[MASK] is a promising drug target for the treatment of ventricular fibrillation.	D014693	Ventricular Fibrillation	1
ADRB1	[MASK] is a promising drug target for the treatment of diabetic foot.	D017719	Diabetic Foot	0
ADRB2	[MASK] is a promising drug target for the treatment of cardiac arrhythmias.	D001145	Arrhythmias, Cardiac	1
ADRB2	[MASK] is a promising drug target for the treatment of asthma.	D001249	Asthma	1
ADRB2	[MASK] is a promising drug target for the treatment of atrial fibrillation.	D001281	Atrial Fibrillation	1
ADRB2	[MASK] is a promising drug target for the treatment of type 1 diabetes mellitus.	D003922	Diabetes Mellitus, Type 1	0
ADRB2	[MASK] is a promising drug target for the treatment of glaucoma.	D005901	Glaucoma	1
ADRB2	[MASK] is a promising drug target for the treatment of heart failure.	D006333	Heart Failure	0
ADRB2	[MASK] is a promising drug target for the treatment of hypersensitivity.	D006967	Hypersensitivity	0
ADRB2	[MASK] is a promising drug target for the treatment of hypertension.	D006973	Hypertension	1
ADRB2	[MASK] is a promising drug target for the treatment of hypoglycemia.	D007003	Hypoglycemia	0
ADRB2	[MASK] is a promising drug target for the treatment of myocardial infarction.	D009203	Myocardial Infarction	0
ADRB2	[MASK] is a promising drug target for the treatment of pancreatic neoplasms.	D010190	Pancreatic Neoplasms	0
ADRB2	[MASK] is a promising drug target for the treatment of retinopathy of prematurity.	D012178	Retinopathy of Prematurity	0
ADRB2	[MASK] is a promising drug target for the treatment of post-traumatic stress disorders.	D013313	Stress Disorders, Post-Traumatic	0
ADRB2	[MASK] is a promising drug target for the treatment of ventricular fibrillation.	D014693	Ventricular Fibrillation	1
ADRB2	[MASK] is a promising drug target for the treatment of chronic obstructive pulmonary disease.	D029424	Pulmonary Disease, Chronic Obstructive	1
ADRB3	[MASK] is a promising drug target for the treatment of heart failure.	D006333	Heart Failure	0
ADRB3	[MASK] is a promising drug target for the treatment of hypertension.	D006973	Hypertension	1
AGER	[MASK] is a promising drug target for the treatment of diabetic neuropathies.	D003929	Diabetic Neuropathies	0
AGER	[MASK] is a promising drug target for the treatment of neuralgia.	D009437	Neuralgia	0
AGT	[MASK] is a promising drug target for the treatment of covid-19.	D000086382	COVID-19	1
AGT	[MASK] is a promising drug target for the treatment of hepatorenal syndrome.	D006530	Hepatorenal Syndrome	0
AGT	[MASK] is a promising drug target for the treatment of hypotension.	D007022	Hypotension	1
AGT	[MASK] is a promising drug target for the treatment of sepsis.	D018805	Sepsis	1
AGTR1	[MASK] is a promising drug target for the treatment of covid-19.	D000086382	COVID-19	0
AGTR1	[MASK] is a promising drug target for the treatment of heart failure.	D006333	Heart Failure	1
AGTR1	[MASK] is a promising drug target for the treatment of hypertension.	D006973	Hypertension	1
AGTR1	[MASK] is a promising drug target for the treatment of pneumonia.	D011014	Pneumonia	0
AGTR2	[MASK] is a promising drug target for the treatment of covid-19.	D000086382	COVID-19	0
AGTR2	[MASK] is a promising drug target for the treatment of diabetic neuropathies.	D003929	Diabetic Neuropathies	0
AGTR2	[MASK] is a promising drug target for the treatment of multiple sclerosis.	D009103	Multiple Sclerosis	0
AGTR2	[MASK] is a promising drug target for the treatment of neuralgia.	D009437	Neuralgia	0
AGTR2	[MASK] is a promising drug target for the treatment of peripheral nervous system diseases.	D010523	Peripheral Nervous System Diseases	0
AGTR2	[MASK] is a promising drug target for the treatment of systemic scleroderma.	D012595	Scleroderma, Systemic	0
AGTR2	[MASK] is a promising drug target for the treatment of diffuse scleroderma.	D045743	Scleroderma, Diffuse	0
AGTR2	[MASK] is a promising drug target for the treatment of limited scleroderma.	D045745	Scleroderma, Limited	0
AGTR2	[MASK] is a promising drug target for the treatment of postherpetic neuralgia.	D051474	Neuralgia, Postherpetic	0
AIFM1	[MASK] is a promising drug target for the treatment of breast neoplasms.	D001943	Breast Neoplasms	0
AIFM1	[MASK] is a promising drug target for the treatment of pancreatic neoplasms.	D010190	Pancreatic Neoplasms	0
AKR1B1	[MASK] is a promising drug target for the treatment of diabetic neuropathies.	D003929	Diabetic Neuropathies	0
AKR1C3	[MASK] is a promising drug target for the treatment of endometriosis.	D004715	Endometriosis	0
AKT1	[MASK] is a promising drug target for the treatment of esophageal neoplasms.	D004938	Esophageal Neoplasms	0
AKT1	[MASK] is a promising drug target for the treatment of langerhans-cell histiocytosis.	D006646	Histiocytosis, Langerhans-Cell	0
AKT1	[MASK] is a promising drug target for the treatment of hodgkin disease.	D006689	Hodgkin Disease	0
AKT1	[MASK] is a promising drug target for the treatment of kidney neoplasms.	D007680	Kidney Neoplasms	0
AKT1	[MASK] is a promising drug target for the treatment of liver neoplasms.	D008113	Liver Neoplasms	0
AKT1	[MASK] is a promising drug target for the treatment of lymphoma.	D008223	Lymphoma	0
AKT1	[MASK] is a promising drug target for the treatment of non-hodgkin lymphoma.	D008228	Lymphoma, Non-Hodgkin	0
AKT1	[MASK] is a promising drug target for the treatment of mesothelioma.	D008654	Mesothelioma	0
AKT1	[MASK] is a promising drug target for the treatment of multiple myeloma.	D009101	Multiple Myeloma	0
AKT1	[MASK] is a promising drug target for the treatment of myelodysplastic syndromes.	D009190	Myelodysplastic Syndromes	0
AKT1	[MASK] is a promising drug target for the treatment of stomach neoplasms.	D013274	Stomach Neoplasms	0
AKT1	[MASK] is a promising drug target for the treatment of b-cell chronic lymphocytic leukemia.	D015451	Leukemia, Lymphocytic, Chronic, B-Cell	0
AKT1	[MASK] is a promising drug target for the treatment of bcr-abl positive chronic myelogenous leukemia.	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	0
AKT1	[MASK] is a promising drug target for the treatment of acute myeloid leukemia.	D015470	Leukemia, Myeloid, Acute	0
AKT1	[MASK] is a promising drug target for the treatment of chronic myelomonocytic leukemia.	D015477	Leukemia, Myelomonocytic, Chronic	0
AKT1	[MASK] is a promising drug target for the treatment of hematologic neoplasms.	D019337	Hematologic Neoplasms	0
AKT1	[MASK] is a promising drug target for the treatment of precursor cell lymphoblastic leukemia-lymphoma.	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma	0
ALAS1	[MASK] is a promising drug target for the treatment of porphyrias.	D011164	Porphyrias	1
ALB	[MASK] is a promising drug target for the treatment of prostatic neoplasms.	D011471	Prostatic Neoplasms	0
ALCAM	[MASK] is a promising drug target for the treatment of breast neoplasms.	D001943	Breast Neoplasms	0
ALCAM	[MASK] is a promising drug target for the treatment of neoplasms.	D009369	Neoplasms	0
ALDH1A1	[MASK] is a promising drug target for the treatment of alcoholism.	D000437	Alcoholism	1
ALDH2	[MASK] is a promising drug target for the treatment of alcoholism.	D000437	Alcoholism	0
ALDH2	[MASK] is a promising drug target for the treatment of alcohol-related disorders.	D019973	Alcohol-Related Disorders	0
ALK	[MASK] is a promising drug target for the treatment of bile duct neoplasms.	D001650	Bile Duct Neoplasms	0
ALK	[MASK] is a promising drug target for the treatment of urinary bladder neoplasms.	D001749	Urinary Bladder Neoplasms	0
ALK	[MASK] is a promising drug target for the treatment of breast neoplasms.	D001943	Breast Neoplasms	0
ALK	[MASK] is a promising drug target for the treatment of carcinoid tumor.	D002276	Carcinoid Tumor	0
ALK	[MASK] is a promising drug target for the treatment of non-small-cell lung carcinoma.	D002289	Carcinoma, Non-Small-Cell Lung	1
ALK	[MASK] is a promising drug target for the treatment of head and neck neoplasms.	D006258	Head and Neck Neoplasms	0
ALK	[MASK] is a promising drug target for the treatment of leiomyosarcoma.	D007890	Leiomyosarcoma	0
ALK	[MASK] is a promising drug target for the treatment of lymphoma.	D008223	Lymphoma	0
ALK	[MASK] is a promising drug target for the treatment of melanoma.	D008545	Melanoma	0
ALK	[MASK] is a promising drug target for the treatment of neoplasms.	D009369	Neoplasms	1
ALK	[MASK] is a promising drug target for the treatment of ovarian neoplasms.	D010051	Ovarian Neoplasms	0
ALK	[MASK] is a promising drug target for the treatment of thyroid neoplasms.	D013964	Thyroid Neoplasms	0
ALK	[MASK] is a promising drug target for the treatment of colorectal neoplasms.	D015179	Colorectal Neoplasms	0
ALK	[MASK] is a promising drug target for the treatment of anaplastic large-cell lymphoma.	D017728	Lymphoma, Large-Cell, Anaplastic	1
ALK	[MASK] is a promising drug target for the treatment of hematologic neoplasms.	D019337	Hematologic Neoplasms	0
ALK	[MASK] is a promising drug target for the treatment of small cell lung carcinoma.	D055752	Small Cell Lung Carcinoma	0
ALOX15	[MASK] is a promising drug target for the treatment of vlcad deficiency.	C536353	VLCAD deficiency	0
ALOX15	[MASK] is a promising drug target for the treatment of pontocerebellar hypoplasia.	C580383	Pontocerebellar Hypoplasia	0
ALOX15	[MASK] is a promising drug target for the treatment of autistic disorder.	D001321	Autistic Disorder	0
ALOX15	[MASK] is a promising drug target for the treatment of rett syndrome.	D015518	Rett Syndrome	0
ALOX15	[MASK] is a promising drug target for the treatment of mitochondrial diseases.	D028361	Mitochondrial Diseases	0
ALOX15	[MASK] is a promising drug target for the treatment of hearing loss.	D034381	Hearing Loss	0
ALOX5	[MASK] is a promising drug target for the treatment of chronic obstructive pulmonary disease.	D029424	Pulmonary Disease, Chronic Obstructive	0
ALOX5	[MASK] is a promising drug target for the treatment of atherosclerosis.	D050197	Atherosclerosis	0
ALOX5	[MASK] is a promising drug target for the treatment of renal insufficiency.	D051437	Renal Insufficiency	0
ALOX5	[MASK] is a promising drug target for the treatment of nociceptive pain.	D059226	Nociceptive Pain	0
ALOX5	[MASK] is a promising drug target for the treatment of musculoskeletal pain.	D059352	Musculoskeletal Pain	0
ALOX5AP	[MASK] is a promising drug target for the treatment of asthma.	D001249	Asthma	0
ALOX5AP	[MASK] is a promising drug target for the treatment of cardiovascular diseases.	D002318	Cardiovascular diseases	0
ALOX5AP	[MASK] is a promising drug target for the treatment of chronic obstructive pulmonary disease.	D029424	Pulmonary Disease, Chronic Obstructive	0
ALPL	[MASK] is a promising drug target for the treatment of hypophosphatasia.	D007014	Hypophosphatasia	1
AMY2A	[MASK] is a promising drug target for the treatment of pancreatic diseases.	D010182	Pancreatic Diseases	0
AMY2A	[MASK] is a promising drug target for the treatment of exocrine pancreatic insufficiency.	D010188	Exocrine Pancreatic Insufficiency	1
ANGPT1	[MASK] is a promising drug target for the treatment of intermittent claudication.	D007383	Intermittent Claudication	0
ANGPT1	[MASK] is a promising drug target for the treatment of ischemia.	D007511	Ischemia	0
ANGPT2	[MASK] is a promising drug target for the treatment of covid-19.	D000086382	COVID-19	0
ANGPT2	[MASK] is a promising drug target for the treatment of anus neoplasms.	D001005	Anus Neoplasms	0
ANGPT2	[MASK] is a promising drug target for the treatment of brain neoplasms.	D001932	Brain Neoplasms	0
ANGPT2	[MASK] is a promising drug target for the treatment of glioblastoma.	D005909	Glioblastoma	0
ANGPT2	[MASK] is a promising drug target for the treatment of kidney neoplasms.	D007680	Kidney Neoplasms	0
ANGPT2	[MASK] is a promising drug target for the treatment of macular edema.	D008269	Macular Edema	1
